FEATURES,TRAIN DATE,TEST DATE,MODEL,MODEL_DESCRIPTION,FORECAST_HORIZON,PAST_HISTORY,NORMALIZATION,TRAINING_TIME,TEST_TIME,mape,mae
['precio_gas' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'],2021-05-01 00:00:00 - 2022-05-01 00:00:00,2022-05-01 00:00:00 - 2022-06-01 00:00:00,m5p,(10 25),24,24,zscore,41.1789529323578,0.582922220230103,14.7991817043138,20.2071093148309
['precio_gas' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'],2021-05-01 00:00:00 - 2022-05-01 00:00:00,2022-05-01 00:00:00 - 2022-06-01 00:00:00,m5p,(10 25),24,48,zscore,46.7388188838959,0.674947023391724,15.2647224894517,19.8209575515326
['precio_gas' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'],2021-05-01 00:00:00 - 2022-05-01 00:00:00,2022-05-01 00:00:00 - 2022-06-01 00:00:00,m5p,(10 25),24,72,zscore,53.4651410579681,0.760968446731567,15.6688847093561,19.9311104526929
['precio_gas' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'],2021-05-01 00:00:00 - 2022-05-01 00:00:00,2022-05-01 00:00:00 - 2022-06-01 00:00:00,m5p,(10 25),24,168,zscore,78.1820750236511,0.631184577941895,16.498796680808,20.3991384574406
['precio_gas' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'],2021-05-01 00:00:00 - 2022-05-01 00:00:00,2022-05-01 00:00:00 - 2022-06-01 00:00:00,rf,(300 10 4 1),24,24,zscore,68.4743781089783,0.103740930557251,15.961837520057,21.068405085716
['precio_gas' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'],2021-05-01 00:00:00 - 2022-05-01 00:00:00,2022-05-01 00:00:00 - 2022-06-01 00:00:00,rf,(300 10 4 1),24,48,zscore,123.925572633743,0.10234522819519,15.7689886066113,20.364476258602
['precio_gas' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'],2021-05-01 00:00:00 - 2022-05-01 00:00:00,2022-05-01 00:00:00 - 2022-06-01 00:00:00,rf,(300 10 4 1),24,72,zscore,181.132622003555,0.105362892150879,16.2080878064556,20.8172429752023
['precio_gas' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'],2021-05-01 00:00:00 - 2022-05-01 00:00:00,2022-05-01 00:00:00 - 2022-06-01 00:00:00,rf,(300 10 4 1),24,168,zscore,401.761981725693,0.102492809295654,17.2669372287603,20.8098841616997
['precio_gas' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'],2021-09-01 00:00:00 - 2022-09-01 00:00:00,2022-09-01 00:00:00 - 2022-10-01 00:00:00,m5p,(10 25),24,24,zscore,40.9262111186981,0.65254545211792,35.5388469732572,47.9077962450415
['precio_gas' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'],2021-09-01 00:00:00 - 2022-09-01 00:00:00,2022-09-01 00:00:00 - 2022-10-01 00:00:00,m5p,(10 25),24,48,zscore,45.9075090885162,0.674185514450073,35.1915931225299,47.519884220862
['precio_gas' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'],2021-09-01 00:00:00 - 2022-09-01 00:00:00,2022-09-01 00:00:00 - 2022-10-01 00:00:00,m5p,(10 25),24,72,zscore,51.9477081298828,0.767759799957275,33.8000966297007,46.3954977902977
['precio_gas' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'],2021-09-01 00:00:00 - 2022-09-01 00:00:00,2022-09-01 00:00:00 - 2022-10-01 00:00:00,m5p,(10 25),24,168,zscore,78.6617579460144,0.702078342437744,36.6696184324493,48.3353134270321
['precio_gas' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'],2021-09-01 00:00:00 - 2022-09-01 00:00:00,2022-09-01 00:00:00 - 2022-10-01 00:00:00,rf,(300 10 4 1),24,24,zscore,70.0482971668243,0.103435277938843,38.8050338889476,49.4689747424442
['precio_gas' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'],2021-09-01 00:00:00 - 2022-09-01 00:00:00,2022-09-01 00:00:00 - 2022-10-01 00:00:00,rf,(300 10 4 1),24,48,zscore,125.602454900742,0.102746248245239,38.526811098083,48.9904475829887
['precio_gas' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'],2021-09-01 00:00:00 - 2022-09-01 00:00:00,2022-09-01 00:00:00 - 2022-10-01 00:00:00,rf,(300 10 4 1),24,72,zscore,185.213150024414,0.106570959091186,37.2730778915914,48.1582132371088
['precio_gas' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'],2021-09-01 00:00:00 - 2022-09-01 00:00:00,2022-09-01 00:00:00 - 2022-10-01 00:00:00,rf,(300 10 4 1),24,168,zscore,397.474250555038,0.108984231948853,40.7311037936462,50.237229278372
['precio_gas' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'],2021-12-01 00:00:00 - 2022-12-01 00:00:00,2022-12-01 00:00:00 - 2022-12-23 00:00:00,m5p,(10 25),24,24,zscore,50.4513969421387,0.654931545257568,60.8692775458226,51.6596358168066
['precio_gas' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'],2021-12-01 00:00:00 - 2022-12-01 00:00:00,2022-12-01 00:00:00 - 2022-12-23 00:00:00,m5p,(10 25),24,48,zscore,61.2363617420197,0.666561126708984,62.4373757785851,52.5124979068791
['precio_gas' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'],2021-12-01 00:00:00 - 2022-12-01 00:00:00,2022-12-01 00:00:00 - 2022-12-23 00:00:00,m5p,(10 25),24,72,zscore,57.4067757129669,0.668030023574829,67.9860642560198,53.9222022895821
['precio_gas' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'],2021-12-01 00:00:00 - 2022-12-01 00:00:00,2022-12-01 00:00:00 - 2022-12-23 00:00:00,m5p,(10 25),24,168,zscore,114.830340385437,0.675487995147705,82.3882481248089,57.5268019244929
['precio_gas' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'],2021-12-01 00:00:00 - 2022-12-01 00:00:00,2022-12-01 00:00:00 - 2022-12-23 00:00:00,rf,(300 10 4 1),24,24,zscore,81.9400177001953,0.110764980316162,63.4949904071553,50.9201977863724
['precio_gas' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'],2021-12-01 00:00:00 - 2022-12-01 00:00:00,2022-12-01 00:00:00 - 2022-12-23 00:00:00,rf,(300 10 4 1),24,48,zscore,135.692944049835,0.0861008167266845,67.7278403531856,53.5589550924524
['precio_gas' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'],2021-12-01 00:00:00 - 2022-12-01 00:00:00,2022-12-01 00:00:00 - 2022-12-23 00:00:00,rf,(300 10 4 1),24,72,zscore,216.104168891907,0.0834529399871826,70.5187883314746,53.7561869272084
['precio_gas' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'],2021-12-01 00:00:00 - 2022-12-01 00:00:00,2022-12-01 00:00:00 - 2022-12-23 00:00:00,rf,(300 10 4 1),24,168,zscore,567.43326830864,0.0906307697296142,86.8981333200033,59.2131621444057
